short_desc,severity
unable dismiss aboutconfig config editor window via keyboard,minor
navigation frames margins mozilla,minor
regression jdt eclipse neon causes javalangillegalargumentexception invalid lambda deserialization,major
console unicode output,normal
searching trash folder causes instant crash every time,critical
view mgmt views undeclared category attribute tossed gddv,minor
drag drop messages working anymore,major
eclipse hangs futex,major
java launching request expose javaapplicationlaunchshortcut super class public api,critical
inline binary method fail precise message,minor
filters dialog several alignment errors,minor
editormgmt editor history refresh invoked shutdown platform,trivial
contributions overriding global action handler fails using activecontexts,normal
bad release nsbezierpath,normal
defaultpartitioner correctly partition tokens length one,normal
celleditors contradicting javadoc,trivial
received spam mail looking thunderbird crashes,critical
editor mgmt multipageeditorpartgetactiveeditor doesnt check disposed,major
content assist content assist constructor generic type always uses unqualified type name,minor
closing opening view confusion,trivial
team project set export wizard conflicting mnemonics,trivial
save actions format regression,major
wrong value used osgiarch ppcle,critical
filtered messages missing incorrect text body invalid sender subject information,critical
crash first start,critical
detect make version suitable managed make builds,normal
search search package declarations return duplicate elements,normal
npe junit wizard,normal
icons view management icons need stronger highlight,normal
eclipse crashes jvm terminated,critical
strange message cvs update using team,minor
web based stub installer reinstall button readable nvda tool,critical
help fix remote help support setting javaprotocolhandlerpkgsjavaxnetssl,critical
build path exception changing source folders,normal
selecting message mail list causes crash suspected cause winmaildat attachement,critical
compiler improve message nameclash overriding method wildcard parameter,minor
gccopyarea work correctly mac retina screen,critical
preferences autobuild preference enable,normal
tvt preferences cvs nonexternalized strings,major
gtkadwaita fields history view empty,critical
templates improve staticfinal editor template,trivial
navigation ctrlclick continue must jump label,minor
indexer returns error valid using aoperator code,minor
commonnavigator project randomly missing project explorer,normal
stipping binaries doesnt work managed makefiles,trivial
image tags contain absolute file urls,trivial
generic method override compatibility,critical
dom astnode apis specify types property descriptors,trivial
access rule effect,major
markers queuing viewer updates,normal
help issue index extension point pluginxml file crashes ic,critical
error adding quick fix cast method receiver,normal
java launching run configuration dialog clipped radio label jre tab,trivial
package explorer add task action disabled closed projects,minor
remove inexact matches enabled inexact matches present,trivial
java search filters dialog broken layout gtk search,normal
api iscanner iterminalsymbols way get tokens,normal
middleclicking backforward button shouldnt uri load,major
quick fix add constructor include parameter name linked mode,minor
weird folder behaviour problem bug occurs garbage smart folders remains delete panaceadat,major
basic type long ignored cdt new parseroutline view,normal
partial memory retention astparsercreateasts,minor
add test measure many layout flushes takes simple location bar search,normal
closed projects prevent source attachment lookup geuut,normal
please add orgeclipsejfacetests gerrit verification build,normal
tvt new configuration window contains truncated text,minor
create test build updated aboutprivatebrowsing design,normal
deprecation warnings test projects junitframeworkassert,trivial
desktop items showing upgrade,critical
workbenchlauncher ctrla work workspace prompt,normal
crashes deleting email,critical
upgrading os requires project recompilation,trivial
crashes editing top stack nsacstringinternalnsacstringinternal,critical
tree selection lost collapsing unrelated item windows,critical
bringing compose window hangs,major
problems encountered text search,normal
help dont use eclipse help landing page,minor
c parser mutable specifier cannot applied names declared const static well reference members,minor
crash auto completion popup choice confirmed,major
resource leaks orgeclipsejdtcompilertooltests,minor
ast rewrite whitespace missing return expression,minor
preferences annotations preference page info plural,trivial
domexception invoking search text,normal
javadoc javadoc reference constructor secondary type binding found search,minor
thunderbird hangs solid starting reading globalmessagesdbsqlite,critical
newjavaclasswizard abstract final called access modifiers gzf,minor
newtestcasecreationwizards classpathfixselectiondialog needs mnemonics controls,minor
dcr java,normal
markers npe removing expanded category,major
hidemacrodirectivedescription displayed filter description,trivial
crash displaying xx new messages alert,critical
compiler eclipse compiler fails reject invalid code primitives autoboxed generics,trivial
spinners listener problem mac,major
imports inner classes show unused,minor
pressing enter delete confirmation dialog animates cancel button,trivial
phishing attack special characters mozilla thunderbird spoofing email sender,major
styledtext enters characters none,normal
find dialog xml files slow come,minor
cannot reference field defined compiler bug,normal
npe incremental search,critical
dismissing zoomed fast view corrupts perspective layout,critical
imported preferences need restart colors fonts,normal
assistjavadoc eternal loop,critical
problem swt solaris x,critical
webapp remove filter dialog,normal
compiler eclipse vs javac differences creating generic inner types,minor
syntax highlighting searchreplace dialog,minor
loss email imap pop accounts last days upgrade inbox sent,critical
run configuration dialog layout,minor
deleting recent message causes jump oldest message,major
build path linking source project always available,minor
bidi clickable area wrong link comctldll split bidi reordering,normal
general improvements textlayout,normal
icon assembler files generalized gcc specific,minor
wordingpreferences wrong caption tab formatter preference page,trivial
autocomplete ctrl space working,normal
navigator navigator popup causes eclipse hang,major
api newwizardmenusetenabledboolean deleted,critical
index range exception new builder,normal
viewers icellmodifier javadoc encourages bad coding style,trivial
gcdrawimageimage int int doesnt work,major
allow flushing asynchronous runnables,minor
gtk vertical scroll bars sometimes cause infinite loop,critical
fill arg names behavior changed,minor
eclipse cant copypaste directory mounted archive,minor
illegalthreadaccess using,blocker
basic tutorial quick text search dialog section missing,minor
parameter hints pops code assist instead,normal
crash attaching file composed message,critical
error compile,normal
dnd drag n drop external program open file open external application instead eclipse,major
migration netscape thunderbird missing something,major
javalangstackoverflowerror using auto completion class many methods,minor
gsoc thunderbird integration windows vistawindows search indexer,normal
crash shutdownhang kernelbasedll nsthreadshutdown nsthreadmanagershutdown windows,critical
window streched dual monitors reduced primary monitor locking windows desktop,trivial
detach sometimes detaches wrong file,critical
terminal accessible screen reader usersblind visually impaired,major
linked mode undo code assist exits template tabbed edit mode,minor
investigatediscuss whether text blocks considered nls tags,normal
tb correctly handles empty passwords,major
get latest key npm audit fixes browsercomponentsnewtab,normal
problem change selected file edition first time,critical
navigation cursor changes hand,major
unncessary compilation adding packages existing path segment beginning,normal
unanticipated comparator errors swt,major
propertiesview propertysheetpage stays active editor shutdown,critical
graphics text font size smaller size,minor
preferences setting file association pegs cpu seconds,normal
intro intro default text colour swt implementation light mac,minor
leaking api syncinfoset syncinfotree,normal
imap ssl sometimes cannot connect,major
namelookupfindtype api finds secondary types,normal
api errors orgeclipsecoreruntime,normal
tvttct kor duplicated mnemonics context menu,normal
missing mnemonics editor context menu,normal
go defintion reliable,trivial
workbenchparts parttester requires image view regression,normal
java browsing perspective scrollbox position,trivial
browser cursor visible editor window,trivial
javadoc astparsersetcompileroptions mention setproject resets options,trivial
linux swt deactivate event longer fired shell deactivated,blocker
archive feature work uwimap spikes cpu,major
hovering javadochover show annotations,minor
code assist popup border uses windows classic xp theme active,minor
build path modifying user library name update project class paths,normal
cc projects navigator disappearing icons context menu,minor
quick assist looses context rename,major
patch wrong path returned externaltranslationunit working copies,normal
translation tool menu item working command uses translation,normal
linked resources linked resource missing local file last modified date epoch,normal
rename package doesnt check resources writeable,critical
outliner synch editor gfad,minor
arrayindexoutofboundsexception,major
thunderbird crash file manager opened,critical
string bundleentry many duplicates,normal
move instance method fails thisqualified field access refactoring,normal
heading section eclipse readme incorrect,trivial
thunderbird crashes starting,critical
add mechansim find bit java gtk buildsh,normal
tests failure orgeclipseuitestsformsutilformcolorstests,minor
onboarding change overlay icon position overlap newtab restore button,normal
add catch surrounding try gone,minor
open definition indexing project open definition gets blocked index,major
dbcs cannot display korean glyphs linux,major
global inbox missing creating first account uses global inbox mail receiving possible,major
gtk recursive loop swtshow events,critical
java doc help always size even needed,trivial
bug style swtseparator toolitemsetimage,normal
expandbar draws top scrollbars,normal
blank help topics random pattern,critical
intro welcome screen display error mouseover,minor
preferences typo windowspreferencesjavacompilerbuilding,trivial
eclipse returns error unable launch installer restarted aptna plugin installation,critical
keyword completion proposals interface enum,minor
hovering configure annotation preference toolbar button plural,trivial
jar exporter dbcs runnable jar file find class names wiith nonascii characters,normal
combo sends modifyevent setitems,minor
inability easily share workspace project properties easily,normal
profile mode handled launch shortcut,normal
warnings fedora compiler gcc,normal
getting new mail results folder processed error,critical
background color inactive tab easy identify ubuntu system,major
databinding factor calls unimplemented gwt functions utilclass,normal
feature says qnxibm eclipse contributors,minor
draft silently get saved imap drafts folder exist,critical
prompt save close documentation missing editors help page,minor
forms collapsable sections cause poor ui,normal
moving large message multiple messages imap folders causes tb hangcrash results duplicate messages,critical
navigation open declared type hyperlink show variable type primitive,trivial
win fontmetrics returns different size first drawtext,major
user consistent naming create watch expressions,trivial
rulers revision becomes sticky unrelated editor,normal
databindingvalidators bound button selection dont work,major
darktheme css exported binary build,normal
help online help documents display page cannot displayed,normal
java editor disconnecting debug session,major
namelookupfindpackagefragment returns incorrect package fragments,major
stepping debugger loses state must select stack frame thread resume,major
rename renamemethodprocessorchecknewelementname allow beginning,trivial
cant start eclipseexe directory exclamation mark,trivial
clean correct indentation use indent empty lines current line,minor
custom widgets cannot handle ime correctly due inability receive wmimeendcomposition,minor
launch progress dialog parented wrong window,normal
tvt clashing mnemonics search panel,major
subdirectory update modified files indexing update broken,critical
patchattacheddialog overwrite projects lacks button,normal
templates fix javadoc wordselection template variable,trivial
errorhandling crash modalcontext thread freezes ui thread,critical
eclipse crashes often,major
conflicting mnemonics refactor menu refactoring,trivial
memory requestor use constant empty object descriptor array,trivial
keybindings bindingequals gives back wrong value,normal
code mining parameter name annotations difficult read line selected,minor
tb couldnt save mails draft send mails,critical
help eclipsehome parameter eclipse infocenter,trivial
reorg dragging file back source folder original package gives confusing warning refactoring,normal
gkt swt snippets work gtk,normal
special handling return type references method getclass,minor
support compilation juno kepler ptp repository location update,normal
browser browser widget crashes vm failed ctrll hover,critical
dnd reorder member reveal member editor,minor
mac universal build error autoconfmk configemptyvarsmk file directory,blocker
tvtdvttct ara wrong direction bracket displayed new c project toolchains column,trivial
default button message dialog issue,normal
switching perspectives debugging causes segfault,critical
search findimplementorsaction fills log newnotpresentexception,major
editormgmt editor close button,major
local folder messages show empty,critical
class file sync java source,normal
typo typetexttosearch message properties xmi tab,trivial
opening files vilpex,minor
assertionfailedexception thrown orgeclipseltkuirefactoring,major
crash pressing ctrlw main window,critical
thunderbird daily failing start couldnt load xpcom error,blocker
copy qualified name uses dot instead dollar sign separate inner class name,minor
merge api markasmerged must ensure proper remote used adjust base,normal
pdom lock tracing breaks standalone indexing,blocker
browser mouse event listeners work swt browser widget,major
css cascading structure inherit value completely resolved due css standard,normal
inference compiler recognize applicable type arguments lambda expressions,major
dom ast withdraw itypebindinggetenclosingtype,normal
generatepdom many errors standard soruces,normal
constant lock ups hangs intel macbook pro,critical
incorrect gc colors tables paintitem event row selected eraseitem,normal
minor typos teammodelhtm,trivial
hashcodeequals remove unnecessary warning hashcodeequals generator,minor
exceptionaccessviolation mswsockdll launching eclipse,critical
customcontrolexample styledtext color buttons reset fgbg,trivial
generic editor extensions shared editor instance,major
code formatting glitch link,trivial
nondescriptive link new classinterface wizard,trivial
fission address bar displays previously accessed webpages address instead currents webpage url session restore,normal
crash eclipse loading pdf content,major
isp earthlink error running java eclipse,major
marks spam doesnt move junk mail run junk mail controls freezes thunderbird,major
smart editing autobracket behaior problem,normal
contributions close project disabled,major
styledtext clicking editor non active eclipse move text cursor,minor
image body email causes popup concerning spamhits,major
thunderbird cannot connect email accounts unless allow thunderbirdbin connect reversetheplanetcom,critical
mpe multipage editor shows additional white border around client area,trivial
jface npe without stacktrace orgeclipsejface,critical
net proxytypesetproxydata contains parameter never used,trivial
adding jre dialog said javaruntimesettingsetting class path setting class path,minor
java search gives results workspace multiple projects,critical
debug view label limited stack frame shown,normal
create document object swtjface application,trivial
lets encrypt certificate available firefox trusted certificate needs add manually make work,blocker
file detached editor cannot saved clicking save toolbar,minor
utfsubject decoding error buffer overflow,critical
presentations viewmgmt close action disabled noncloseable view,major
adoptability cdt lacks ability specify default build target,major
sensitive currently configured capability page,critical
history view quick way remove filter,normal
javadochelp illegal access error,normal
tasks task tag creation locked workspace,critical
selected disabled tool item looks enabled,trivial
context menu selectable text dialog,minor
number format detailmodules refactor simplify detail pane implementation,minor
copypaste console adds line delimiter line,normal
crash pop initialize nsstringbundleservicegetstringbundle,critical
clean segmentedmodetest,normal
eclipse cc neon macos sierra xcode gdb eclipse debug cannot start,critical
dcr need support mac command key swt,normal
grammar problem progress message,trivial
messages deleted drafts junk folders permanently retained respective mbox file,critical
copy sent mail sentmail folder failed imap offline folder disabled,critical
string variables variable expansion written log,minor
new java project ui first page wrong label,normal
refactoring classpath updated girez,minor
dvttct fr workbench user guide character size problem,trivial
removetabstotheendfrom slow,normal
unable upload program arduino avrdude,major
iresourcegetroot,normal
typing use cpu write char end file,major
workbench trivial javadoc typo orgeclipseuiistartup,trivial
packagehtml files need minor change generate correct description,minor
walkback saving tree,major
cannot create project particular set java code,blocker
editormgmt typo ieditorreferencegetname,trivial
use api newjavaprojectpreferencepage,trivial
pde checking right branchsha eclipsesourcereference,normal
code formatter preference page bogus preview code,normal
commands concurrentmodificationexception source tab pluginxml editor,major
new class wizard always give focus class name gfbom,critical
update known issues note orgeclipseuimenus,normal
tree selection views ie package explorer minor rendering problem installing novell client,minor
templatescontent assist code completion code template overwrites typed first,minor
cocoa canvas vscroll menudetect event sent times,major
commands breaking changes pluginxml,normal
unbounded cache managewatchpointactiondelegate,normal
search search work,blocker
keyevent character consistent linux windows,major
repositioning floating windows monitor changes,trivial
upgrade doesnt automatically use previous mail account settings data,major
running executable command line uses different data,normal
npe closing editor,minor
resolver project rename refactoring fails update variables launch configs,minor
navigation multi hyperlink popup close another modifier pressed,minor
context help description organize import sticky,trivial
preferences open mode updated importing preferences,minor
fillgradientrectangle gc doesnt use gdip clipping foreground background,trivial
dialogs findreplace feature request shortcut key replace find,minor
corrupt junkmsf disables junk filtering sometimes hangs thunderbird,critical
classcast exception search annotation type references,normal
batch build progress busy indicator,major
thunderbird hanging frequently,critical
interface blocked many resources cvs synchronize view,minor
ltk deleteresourcechange tell resource could deleted,trivial
encoding dirty editor needs react encoding property changes,normal
typing defining literal string contains closing block comment breaks automatic block comment closure,minor
nonnlsed strings new lightweight rename refactoring work,trivial
class keyword partially colored,trivial
ast error parsing annotation,critical
undocked view respond snap arrow keys windows,minor
accessibility phrase externalized properties file,normal
formatter formatter never join lines produces extra level indent,minor
global sync remember last working set selected,minor
editormgmt unable open external editor,normal
ibuild build failed compilation error,blocker
tvtdvttct heb problem external tool configurations,major
quick fix suppresswarningsnls static initializer causes error,major
wizard new sourceheader file template combo box text truncated,normal
clicking cancel multiple times prompted master password allows access email,major
applicationexmi default applicationxmi,normal
problems restoring workbench layout,major
swt tooltip render arabian text tooltip correctly sled linux,critical
eraser icon difficult see analogy often missed,normal
open file hangs forever,blocker
templates probe formatter applying templates,normal
use pngs available jdtui jdtdoc plugins,normal
os x full screen mode disable window minimize menu,trivial
datetime format error log clear,trivial
descriptions preference pages arent aligned,normal
gpf aix showing links editor,critical
hello world cheat sheet titled simple c application,trivial
single problem checker several problems selected,normal
adapt text editor link java editor preference page general editor preference page style preference,minor
duplicate target line breakpoints created setting gdb console line breakpoint,normal
junit allow users select using junit automatically generate correctly formatted file,trivial
gloda database rebuilt,major
preferences arbitrary keyword suggestions,trivial
npe javareconcileruninstall pasting snippet,normal
end key go end line,minor
contributions commands npe startup command id found,major
compiler applying remove cast quickfix causes incremental compile error,normal
long integer scope max limit,normal
method swtutilgetbuttonheigthhint misspelled misc,trivial
npe trying instantiate cbuildconsole non null id,minor
cvs history tag existing needs way much user interaction,normal
large msg download via pop provide better user experience,major
platform plugin developer guide poor link cvs cheatsheet,minor
blockselection add getsetblockselectionrectangle styledtext,major
model spy command names descriptions externalized,normal
need clarify warning messages log file,minor
api change ichelpbook,normal
eclipse extra bouncing icon dock startup dual g,normal
renaming record accessor method rename record component,normal
double click specific nonfocused tab shared area maximizes shared area text previously focused tab displayed,minor
missing resouce exception install wk,blocker
using encapsulate field multiple field declaration refactors code incorrectly,critical
newindex fix test failures javaprojectteststestexternallibfolder,normal
file search doesnt match files without extension,normal
changing single byte traditional rendering text pane changes cell,minor
jre crashes editing java source,critical
state integrity problem restoring default values cc build window project properties dialog,minor
cannot launch eclipse installation folder contains,normal
importexport export zip file overwrite existing nothing,normal
include dependencies respected building makefile project mt flag,major
open external file needs mnemonic,trivial
concurrency querycancel cancel request monitor used call queryexecute,minor
scheduling rule initialize load job causes deadlock,major
new index deadlock searching subtypes interface,critical
paranoid people want filesave workspace matter little,minor
quickaccess multiple view categories,minor
dnd drag drop groups causes eclipse thread hang comdodragdrop indefinitely,major
code completion optionally dont suggest lowercase single character class names,normal
package eclipsesdkwinx compile either xp sp ws sp correct checksum,critical
clash adobe illustrator v corruption illustrator program,critical
cannot launch eclipse workspace,critical
orgeclipseuitexteditorincrementalfindtarget keycodeconsumption verifykey,minor
styledtext horizontal scrollbar doesnt handle indent,major
thunderbird hangs entering master password,critical
refactoring incorrectly complains naming convention,trivial
swt crashes java vm eclipse,critical
welcome alignment workbench link header broken,trivial
misc annotation rollover action mark occurrences removes sticky occurrences,minor
key binding emacs mode keyboard navigation reset isearch,minor
viewmgmt spring tool suite sts screen becomes fuzzy search,minor
formatter java formater trangresses line length limit,normal
form widgets trying use disposed colors switching themes,critical
keybindings ctrlc ctrlv ctrlx work views editors,normal
preferences workbenchpreferencemanager mishandles dynamic contributions,major
releng ecjjar partially signed,major
parentheses matching java editor,normal
nullpointerexception error entering debug mode unsaved files,major
junit view clear status line junit,normal
dnd navigator navigator need ability drag drop root projects,normal
keybindings tabbed dialogs allow ctrltab switch tabs,minor
crash opening mail,critical
resource exception deleting project,normal
name conflict dialog improved,trivial
folder pane missing cannot restored lost mail cannot see anything,critical
detached windows loose size switch perspectives,major
npe opening editors programmatically,major
cannot run pde test runner motif,normal
inconsistent use periods editor prefs labels,trivial
compiler eclipse generates bad code major regression,critical
launchrelated walkbacks log,normal
npe abstracttexteditorgetcursorposition opening class file,critical
refactoring preview dialog positioned outside screen,major
support exchange servers account creation dialog,normal
projection changing caret position annotating,minor
crash sending mail exchange server using imap crash nsmsgprotocoldogssapistep,critical
templates view preview area refreshed template editing,minor
changing classpath causes significant recompilation,normal
getactiveshell behaviors win gtk linux,major
search npe searching workspace references,major
bugzilla bugs lost email change,normal
debug breaks caught exception jdk,normal
workbench newlook suggest make tab borders slightly lighter,normal
leaving thunderbird running background eats idle processor time,major
environment tab run configurations window resizes different applications selected,trivial
clipboard open clipboard dialog remember size,minor
profile manager hangs startup profile manager appears profiles,critical
ui properties tab change color,normal
cant launch eclipse,major
eclipse crashes saving file running php webpage,critical
rundebug toolbar buttons hover,normal
crash nssmimeverificationlistenernotify nsxpcwrappedjsaddref opening signed email smime,critical
externalclassfileeditorinput persist properly,normal
editormgmt tvttct ja one item missing mnemonic editor preferences panel,trivial
duplicate mneumonic alte javaprefseditortyping,minor
password fields copied clipboard mac os x,major
viewers exception widget disposed using tableviewerupdate previously filtered items tableviewer swtvirtual,major
upc parser template proposals upcforall,minor
vertical scrollbar disappears message list pane,major
services update version string gdb,normal
cant send mail anymore cause thunderbird keeps asking password,major
css editor bug doesnt allow insert linebreaks two closing brackets,normal
adding line items task view refers nondisplayed button,minor
sync refreshed file closed,trivial
hovering show java annotations missing deprecated javadoc hover member marked annotation,minor
screen corruption whilst windows display properites appearance dialog modification pending,normal
test compile warnings uatests,normal
locks activating task task list,critical
breakpoints failed breakpoint updated,minor
dropdown arrow present folder contain anything inside,trivial
swt winwceppcarmjses swtwindll missing many native methods,blocker
cannot get gtk dll background thread deletion,normal
compiler able compile interfacesuper construct project using classes defined project,normal
opening message search results clears thread message panes restart,major
jsr multiple annotations class first resolved,normal
projection copy clipboard rtf crossing collapsed section,minor
doc classpathcontainerpage extension incorrect,minor
showviewmenu leaks images show,major
editorsviews name display mnemonic underline,trivial
mac registers view slow open first time,normal
use setcomparator instead depricated setsorter orgeclipsejfacetestsviewers,trivial
contributions keyboard shortcut letter underlined menu item addition main eclipse menu linux,minor
package explorer shows entries bold thier first update,normal
interop components swtawt dont show workbench,blocker
first startup booting sometimes shows error unresponsive script script page may busy may stopped responding iteratorutilsjsm,major
lost mail local subfolders organizing subfolders,critical
inconsistent menu treatement new unadded resources,normal
stackrenderer leaks viewmenuimage,minor
jface progressmonitordialog closing crashing,critical
api iannotationmodelextension api polish,trivial
every months loose emails message filters,critical
propertiesview problem list editor,major
widgets jvm crash tableviewersetitemcountint,major
msword inplace loses scroll bars,major
cheatsheets cheat sheet selection dialog margins sizelocation,normal
jdtui tests failed testhierarchywithworkingcopy,normal
duplicated code teams compare actions,trivial
gp movememory error windows xp,normal
improve javadoc browser regarding javascript availability,trivial
commonnavigator project explorer honour new wizard shortcuts,normal
junit plugin test counters using wrong widgets,minor
contributions executioneventevaluationcontext wrong selection editors,major
jvm crash random intervals suse sun jre,blocker
eclipse locks starting new project going help menu,critical
ux new visual design updated aboutprivatebrowsing page,normal
npe compilationunitannotationmodelendreporting,major
breadcrumb tooltip external plugin libraries project,trivial
ast throws abortcompilation,major
javafx application launcher error javalangunsatisfiedlinkerror comsunglassuiwinwinapplicationinitids,blocker
remove testsuite parameter tycho plans remove support new variable names pom,trivial
assertion failed file breakc line,critical
dom ast rewrite fails generate modified code,blocker
enterprise eclipse cannot launched first startup,blocker
miexception creating misession leave orphan gdb process,minor
gtk swttoggle buttons rendered like swtpush buttons toolbars,major
poor hittesting dnd navigator view,major
filters disappeared applying global inbox setting accounts rebooting,critical
extract interface use method code templates,minor
deleting imap subfolder leaves folder visible,major
ui glitch annotations preferences page disabled checkbox stays checked,trivial
class refactormove introduces import ab instead import abclass,minor
mail inbox disappears keyboard arrow keys used scroll beyond end mail list,critical
rcp need access view menu presentation,critical
startup takes hours debuginfos even busy,critical
plugin instalations wrong,critical
ltk undoing deleted project utf charset encoding raise message error,major
automatic update via mozilla updater fails,major
help window doesnt show contents,normal
perspectives noticeable menubar flash switching perspectives,major
ui quirks semantic highlighting preference page,trivial
cant run eclipse,blocker
test eclipse bug works,trivial
javadoc isearchquery tell whats going rerun,minor
valid class breaking project build,critical
colons unix filenames cause serious error creating project,major
cannot input chinese properly ctrlh dialog,blocker
profile loading getting prompted create account,major
doc doc installationpages schema file extra colon,minor
methods generated backtoback without spacing,normal
crashes mimefindclass editing ctrle signed email,major
save file causes thunderbird hang os update,major
use gtkwidgethasdefault instead deprecated gtkwidgethasdefault,normal
j status line doesnt display j characters ggyuyz,normal
content assist code assist parameterized generic type triggers confusing type parameter hover help,minor
performance vertical ruler calculates line heights unnecessarily,normal
test create way test broken links documentation,normal
real unlikely argument type problem search,minor
missing superinterface binding recovered interface,minor
workspace prompt needs work around combo selection bug mac,critical
swt browser dont use plugin swtmozilla,minor
disconnecting docker connection reconnecting results build dirs,normal
net library libproxygnomeso version number missing,trivial
mousewheel events delivered unless ctrl shift pressed mouse scrolls without focus,normal
inplace outline displayed editable titlebar,trivial
invisible char java editor,minor
javadoc generation fails big java projects,major
new package wizard inconsistent labels gflrp,minor
newjavaprojectwizard move button enabled top item gxp,minor
crash sending mail plain text html fortilspdll,critical
cfileentry indexupfrontlist yields unresolved include,minor
paintinglinked mode ibeam decorations drawn end file,minor
spec javadoc ijavaprojectnewtypehierarchy clarify subtype computation,trivial
swt mozilla component completely missing linux gtk amd,major
dont schedule build already building,normal
toolitem tooltips often dont appear,major
findreplace autotrigger content assist replace,trivial
brace wrong location,normal
new search menu buttons views toolbar something,minor
rectangle follow mouse cursor file reload,minor
navigation quick type hierarchy doesnt show implementations functional interface,minor
manual quote button may quote text wrong message,major
